station,time,mslp
CQT,6/24/2022 0:47,1009.4
CQT,6/24/2022 1:47,1009.7
CQT,6/24/2022 2:47,1010.1
CQT,6/24/2022 3:47,1010.6
CQT,6/24/2022 4:47,1010.9
CQT,6/24/2022 5:47,1010.9
CQT,6/24/2022 6:47,1011.3
CQT,6/24/2022 7:47,1011.3
CQT,6/24/2022 8:47,1011.3
CQT,6/24/2022 9:47,1011.1
CQT,6/24/2022 10:47,1010.9
CQT,6/24/2022 11:47,1011
CQT,6/24/2022 12:47,1011
CQT,6/24/2022 13:47,1011.6
CQT,6/24/2022 14:47,1011.9
CQT,6/24/2022 15:47,1012
CQT,6/24/2022 16:47,1011.5
CQT,6/24/2022 17:47,1011.2
CQT,6/24/2022 18:47,1011
CQT,6/24/2022 19:47,1011.1
CQT,6/24/2022 20:47,1010.9
CQT,6/24/2022 21:47,1010.7
CQT,6/24/2022 22:47,1010.2
CQT,6/24/2022 23:47,1009.8
CQT,6/25/2022 0:47,1009.5
CQT,6/25/2022 1:47,1010.4
CQT,6/25/2022 2:47,1010.8
CQT,6/25/2022 3:47,1011.1
CQT,6/25/2022 4:44,
CQT,6/25/2022 4:47,1011.8
CQT,6/25/2022 4:53,
CQT,6/25/2022 5:47,1012
CQT,6/25/2022 6:38,
CQT,6/25/2022 6:47,1011.8
CQT,6/25/2022 7:47,1011.8
CQT,6/25/2022 8:04,
CQT,6/25/2022 8:16,
CQT,6/25/2022 8:47,1012
CQT,6/25/2022 8:59,
CQT,6/25/2022 9:32,
CQT,6/25/2022 9:47,1011.7
CQT,6/25/2022 10:47,1011.8
CQT,6/25/2022 11:47,1012
CQT,6/25/2022 12:47,1012.4
CQT,6/25/2022 13:47,1012.8
CQT,6/25/2022 14:47,1013
CQT,6/25/2022 15:47,1013.1
CQT,6/25/2022 16:47,1013
CQT,6/25/2022 17:47,1012.3
CQT,6/25/2022 18:47,1012.3
CQT,6/25/2022 19:47,1012.3
CQT,6/25/2022 20:47,1012
CQT,6/25/2022 21:47,1011.9
CQT,6/25/2022 22:47,1011.6
CQT,6/25/2022 23:47,1011.2
CQT,6/26/2022 0:47,1011.2
CQT,6/26/2022 1:47,1011.6
CQT,6/26/2022 2:47,1012.1
CQT,6/26/2022 3:47,1012.5
CQT,6/26/2022 4:47,1013.1
CQT,6/26/2022 5:47,1013.9
