Date,Mu2Ch12,Mu2Ch13,Mu2Ch23,Icorr213,Icorr212,Icorr223
2022-06-24 03:00:00+00:00,19564,10121,20360,10103,19534,20326
2022-06-24 04:00:00+00:00,19499,10149,20460,10134,19474,20432
2022-06-24 05:00:00+00:00,19230,9870,20169,9857,19209,20145
2022-06-24 06:00:00+00:00,19763,10296,20388,10283,19741,20363
2022-06-24 07:00:00+00:00,19555,10161,20375,10150,19537,20355
2022-06-24 08:00:00+00:00,19651,10027,20401,10016,19633,20381
2022-06-24 09:00:00+00:00,19526,10177,20545,10166,19508,20525
2022-06-24 10:00:00+00:00,19552,10184,20328,10172,19532,20306
2022-06-24 11:00:00+00:00,19802,10220,20589,10207,19780,20564
2022-06-24 12:00:00+00:00,19745,10244,20678,10231,19724,20654
2022-06-24 13:00:00+00:00,19764,10200,20509,10187,19743,20485
2022-06-24 14:00:00+00:00,19650,10204,20547,10195,19635,20530
2022-06-24 15:00:00+00:00,19739,10166,20331,10159,19727,20318
2022-06-24 16:00:00+00:00,19739,10268,20514,10261,19728,20502
2022-06-24 17:00:00+00:00,19658,10245,20505,10235,19642,20487
2022-06-24 18:00:00+00:00,19650,10185,20405,10174,19631,20384
2022-06-24 19:00:00+00:00,19485,10040,20243,10028,19464,20220
2022-06-24 20:00:00+00:00,19674,10320,20509,10308,19654,20486
2022-06-24 21:00:00+00:00,19687,10169,20502,10156,19665,20477
2022-06-24 22:00:00+00:00,19776,10330,20881,10315,19752,20853
2022-06-24 23:00:00+00:00,19517,10231,20525,10214,19488,20492
2022-06-25 00:00:00+00:00,19583,10113,20604,10093,19550,20566
2022-06-25 01:00:00+00:00,19501,10086,20314,10065,19465,20273
2022-06-25 02:00:00+00:00,19577,10181,20434,10165,19550,20403
2022-06-25 03:00:00+00:00,19510,10076,20416,10062,19487,20390
2022-06-25 04:00:00+00:00,19669,10105,20318,10093,19649,20296
2022-06-25 05:00:00+00:00,19649,10326,20695,10318,19636,20680
2022-06-25 06:00:00+00:00,19411,10085,20173,10079,19400,20161
2022-06-25 07:00:00+00:00,19462,10008,20359,10000,19449,20345
2022-06-25 08:00:00+00:00,19628,10361,20711,10353,19615,20696
2022-06-25 09:00:00+00:00,19692,10110,20328,10104,19681,20316
2022-06-25 10:00:00+00:00,19844,10315,20469,10307,19830,20453
2022-06-25 11:00:00+00:00,19335,9905,20326,9897,19323,20312
2022-06-25 12:00:00+00:00,19707,10255,20537,10248,19696,20525
2022-06-25 13:00:00+00:00,19563,10207,20485,10203,19556,20478
2022-06-25 14:00:00+00:00,19501,10042,20330,10040,19499,20327
2022-06-25 15:00:00+00:00,19626,10091,20429,10091,19626,20429
2022-06-25 16:00:00+00:00,19692,10146,20402,10146,19693,20403
2022-06-25 17:00:00+00:00,19633,10194,20439,10194,19633,20439
2022-06-25 18:00:00+00:00,19760,10203,20707,10198,19752,20698
2022-06-25 19:00:00+00:00,19722,10119,20457,10114,19714,20448
2022-06-25 20:00:00+00:00,19466,10106,20458,10101,19458,20449
2022-06-25 21:00:00+00:00,19428,10068,20223,10062,19417,20211
2022-06-25 22:00:00+00:00,19631,10237,20512,10230,19619,20499
2022-06-25 23:00:00+00:00,19712,10245,20507,10236,19697,20490
2022-06-26 00:00:00+00:00,19549,10090,20226,10079,19530,20205
2022-06-26 01:00:00+00:00,19568,10157,20538,10146,19549,20517
2022-06-26 02:00:00+00:00,19565,10181,20290,10172,19550,20273
2022-06-26 03:00:00+00:00,19296,10000,20222,9994,19287,20211
2022-06-26 04:00:00+00:00,19399,10030,20371,10027,19394,20365
